Category1;Category2;Category3;Category4;Category5;Category6;Category7;Category8;Category9;Category10
118;132;62;31;106;174;317;291;125;338
99;92;32;79;78;178;318;277;198;262
138;112;18;37;82;116;318;269;122;33
118;128;26;33;11;136;317;303;176;338
7;116;14;39;9;118;317;279;115;296
109;264;254;53;7;218;319;279;16;234
93;22;35;57;46;158;318;278;221;274
77;136;18;39;13;21;316;295;102;35
51;88;26;48;96;142;317;288;102;304
61;124;232;51;104;258;319;275;16;246
77;116;213;45;13;174;318;296;147;294
9;112;67;5;138;21;318;298;141;286
96;2;194;51;102;17;319;27;17;238
272;196;139;32;106;246;318;286;115;286
9;108;248;41;82;178;318;283;141;346
64;128;48;35;7;158;318;301;218;298
99;104;35;58;74;222;318;299;15;278
25;2;24;51;8;178;317;289;154;312
86;104;131;48;56;178;318;305;205;262
7;1;178;64;298;236;318;274;115;25
86;76;106;51;262;234;318;281;109;27
112;204;19;33;26;136;317;307;134;318
122;116;218;55;138;252;319;266;192;254
96;12;19;33;66;124;316;294;128;362
67;124;96;53;78;144;318;29;16;288
77;188;243;65;106;312;32;269;211;24
86;12;35;42;96;172;317;257;96;306
9;1;284;5;128;214;32;297;154;254
131;0;26;72;96;116;318;29;214;288
64;104;203;53;16;19;318;29;112;288
96;128;22;37;82;214;318;262;134;28
77;108;3;55;106;226;318;323;173;266
51;136;13;33;7;102;318;289;163;27
86;104;189;61;146;23;319;277;192;262
51;108;248;57;66;18;319;258;138;232
74;96;26;42;86;154;317;286;163;304
7;164;246;57;146;254;32;295;189;238
86;136;168;49;13;304;319;27;131;278
7;112;123;49;152;234;318;278;176;266
77;14;16;59;94;194;318;306;141;266
134;164;37;39;58;194;318;272;166;294
53;96;18;58;66;14;318;295;15;242
86;6;24;64;94;17;318;278;144;234
112;16;19;69;62;144;318;29;173;246
83;12;125;56;104;202;318;266;186;266
8;108;145;45;98;17;318;29;109;302
9;88;184;41;72;2;318;266;106;282
58;112;157;45;78;15;318;277;144;29
74;224;263;72;14;376;32;275;163;248
64;104;235;51;142;166;319;266;221;25
61;184;61;47;218;25;318;283;192;298
96;116;36;42;22;28;318;283;198;264
8;136;75;35;9;178;318;286;122;282
144;28;18;34;26;174;317;264;9;288
83;108;24;46;5;152;318;298;198;28
7;156;96;4;118;188;317;277;106;334
99;104;117;57;98;21;319;274;138;24
86;296;24;41;72;162;318;298;154;298
61;164;18;46;102;19;317;259;134;304
96;148;21;58;42;128;318;295;198;266
96;192;118;61;9;198;318;282;17;262
96;132;34;48;82;17;317;295;134;334
123;1;59;35;102;162;318;285;202;298
106;104;25;56;178;28;32;272;218;254
9;88;117;47;7;21;318;306;205;262
163;12;67;75;102;22;318;285;134;242
67;24;34;53;126;22;318;271;173;27
7;88;266;5;104;146;319;288;154;24
58;148;24;49;42;138;318;282;16;288
96;88;22;53;42;18;318;274;246;278
96;1;3;33;88;158;317;298;211;334
106;8;29;35;13;212;318;303;17;294
74;8;182;5;12;174;318;263;163;258
93;16;311;49;96;208;32;261;15;238
9;88;194;55;112;218;318;285;147;27
7;152;146;5;94;17;318;264;96;294
77;156;24;62;98;21;318;286;166;248
99;108;141;24;152;208;318;274;122;294
74;168;289;57;94;192;32;286;134;234
7;16;236;48;118;173;32;298;131;242
115;212;206;56;168;186;319;262;144;242
58;12;32;43;104;254;318;295;118;326
9;216;206;56;166;217;319;272;144;242
74;136;21;29;62;148;317;298;118;338
77;108;182;39;106;232;319;285;141;24
67;176;3;41;26;158;318;267;224;342
96;144;72;62;82;27;318;302;182;278
74;128;136;66;126;248;318;283;128;264
77;88;24;43;102;21;318;303;176;264
64;148;24;56;74;172;318;28;166;288
67;148;26;56;62;126;318;281;154;29
86;96;74;112;96;17;318;28;157;256
83;136;107;33;56;216;318;274;16;282
64;136;152;47;102;268;318;279;141;27
9;12;85;62;118;214;318;278;154;274
67;16;19;45;102;142;318;286;173;288
106;128;16;47;104;16;317;272;118;326
147;104;43;48;74;11;317;301;163;32
48;112;7;33;38;142;318;288;147;278
96;16;29;32;62;162;318;279;125;29
58;104;277;58;46;198;319;266;138;25
93;208;27;39;11;258;318;289;189;278
96;112;91;5;82;166;318;281;163;272
83;132;18;31;122;15;317;298;138;304
7;228;22;238;38;128;318;281;138;266
83;196;133;54;144;254;318;287;128;274
112;8;91;39;48;156;318;296;138;27
176;6;157;35;5;166;318;298;15;272
96;132;37;49;74;166;317;297;141;336
77;108;22;65;88;202;318;286;179;254
86;96;202;5;128;158;319;27;179;266
112;296;16;5;48;176;318;278;176;272
64;136;91;4;86;11;318;283;147;306
115;8;26;31;64;186;318;277;202;262
67;22;234;61;9;212;319;261;141;246
77;148;29;35;16;82;317;294;109;326
122;68;141;91;134;282;319;309;211;25
64;12;94;39;94;202;319;309;128;226
109;1;102;4;102;138;318;258;74;326
131;136;75;48;5;17;318;289;134;278
106;312;158;48;56;334;318;267;176;294
7;132;34;59;4;102;318;285;131;282
66;64;201;58;82;154;318;302;122;288
74;104;13;62;126;242;318;278;157;25
83;92;82;39;128;214;318;339;163;28
67;128;26;51;102;126;317;287;301;33
187;28;114;5;9;194;318;297;182;258
54;116;38;33;138;158;317;27;106;344
7;144;22;64;56;204;318;285;17;278
182;156;62;39;58;162;318;293;214;342
125;104;43;43;104;25;318;303;16;288
96;132;56;38;66;154;317;285;141;312
74;132;16;49;122;146;317;27;208;288
8;18;125;55;138;25;318;285;17;242
99;132;203;43;88;154;318;27;208;278
74;96;62;51;96;184;318;28;205;302
9;148;146;42;42;102;318;271;173;296
166;24;43;59;8;106;318;295;138;248
8;192;16;5;208;32;319;289;15;254
75;108;188;34;9;158;318;273;16;25
7;88;19;43;14;166;317;275;118;298
58;144;21;41;106;156;318;29;304;254
7;136;19;41;86;128;317;272;237;31
205;12;19;34;48;102;317;281;192;344
51;12;42;49;9;12;317;256;15;298
61;12;205;61;13;306;319;279;157;242
83;196;83;46;5;134;318;278;109;27
8;112;16;63;15;174;318;286;112;29
86;14;125;55;202;262;318;288;138;254
138;96;107;66;106;218;318;285;131;264
106;144;42;58;7;168;317;295;17;338
51;196;21;42;72;138;318;287;182;282
173;84;261;63;11;242;319;298;173;278
54;296;38;61;162;242;318;322;243;28
109;276;21;66;32;228;318;272;15;258
74;156;24;61;7;142;318;282;15;296
93;224;19;49;176;306;319;269;202;248
61;156;19;41;86;114;318;281;16;28
94;8;35;56;48;178;318;286;218;266
64;152;21;39;98;138;316;277;166;338
38;144;34;5;126;194;318;29;237;304
109;196;117;51;162;274;318;274;128;24
58;124;26;56;96;17;318;32;214;278
8;132;34;24;46;102;317;29;144;328
61;156;19;41;86;114;318;281;16;28
7;132;32;51;82;134;318;304;176;304
48;112;235;58;78;198;319;263;125;24
74;156;227;66;13;256;319;265;154;24
7;164;107;39;104;154;318;282;147;306
134;76;11;47;166;2;318;287;118;266
72;16;67;34;78;158;317;318;115;342
8;18;37;51;106;158;317;281;154;318
99;196;246;53;34;158;32;282;144;254
109;64;112;42;7;154;318;307;144;266
7;8;256;5;11;15;319;286;147;238
93;92;18;5;102;24;317;291;109;318
106;128;13;43;24;46;317;286;115;338
15;116;237;27;58;19;318;278;154;32
195;152;194;344;64;294;32;262;154;246
125;104;158;67;88;242;318;27;134;29
54;116;8;32;66;144;317;279;109;328
51;148;21;41;12;166;317;283;163;33
163;96;34;49;38;206;317;286;192;346
77;16;246;59;216;264;319;285;221;25
176;68;131;46;34;8;318;274;96;254
86;1;29;47;24;146;318;274;173;24
83;6;19;61;94;166;318;274;147;234
58;196;18;38;74;108;318;266;218;278
77;116;32;26;5;114;317;289;144;334
226;4;208;5;118;286;319;275;16;242
166;104;91;43;72;174;317;277;86;346
8;156;34;41;8;166;317;291;138;326
102;104;24;65;46;188;318;288;115;286
96;116;45;29;98;142;318;294;202;302
83;96;147;5;146;202;318;294;122;25
96;196;26;51;82;134;318;302;189;272
86;184;178;61;118;236;319;282;214;25
9;1;206;62;9;252;319;289;138;24
77;136;75;46;114;214;318;285;189;282
102;14;22;57;22;218;318;288;134;286
9;168;29;35;8;124;318;274;125;304
7;128;94;62;106;202;318;285;182;288
83;72;22;39;48;18;318;295;112;272
77;148;98;31;102;15;317;283;109;33
93;128;22;25;46;62;317;298;112;306
77;188;21;49;48;174;318;283;144;294
96;18;56;225;202;24;318;269;125;242
7;132;27;47;178;218;318;295;179;278
166;216;126;41;62;226;318;29;15;326
134;8;22;69;4;224;318;272;128;25
83;104;35;4;26;96;317;277;154;324
74;196;125;4;58;126;318;27;109;32
45;196;94;61;58;158;318;298;115;25
7;196;166;55;138;26;319;294;141;272
109;296;179;79;118;2;319;266;259;246
67;196;29;43;118;202;317;295;141;336
154;128;22;24;58;162;317;28;17;338
64;152;16;42;56;98;318;286;118;294
8;96;27;55;7;166;318;299;192;27
83;76;131;58;142;25;318;281;166;258
131;2;24;72;46;16;318;286;179;246
7;144;88;33;8;14;318;285;15;314
134;104;147;66;9;266;319;279;176;248
54;128;26;61;126;2;318;293;243;256
128;128;27;4;104;112;317;319;154;338
102;124;27;41;122;26;318;27;154;28
96;196;75;41;46;14;318;29;218;33
106;164;32;31;38;106;317;29;202;33
54;108;24;42;54;13;318;307;134;294
7;212;242;59;58;182;319;262;112;25
131;92;237;62;74;232;32;282;157;258
102;92;259;63;96;234;319;29;173;242
45;136;21;63;134;204;318;293;256;256
99;112;22;4;74;142;316;266;128;352
109;8;93;71;138;27;318;282;141;262
122;56;62;69;72;15;318;273;109;246
74;12;29;38;42;122;317;291;128;314
8;204;128;54;162;252;318;286;157;246
58;76;75;53;152;214;318;295;211;28
99;136;118;67;96;232;319;307;198;296
86;296;21;198;9;162;318;27;147;246
163;116;181;39;162;298;319;279;179;254
109;144;142;33;118;17;318;291;112;318
61;124;26;71;82;23;318;298;141;312
106;56;77;59;72;17;318;286;154;25
61;14;216;43;13;158;318;266;202;286
61;132;21;35;58;116;317;274;198;328
7;108;26;65;12;13;318;293;141;264
93;192;37;56;96;238;318;282;205;282
8;112;178;64;12;234;319;304;138;254
64;124;118;61;86;282;318;294;189;278
118;136;51;32;112;216;317;267;106;33
9;204;126;64;13;274;318;282;166;25
86;72;123;55;12;248;318;287;15;24
74;1;26;41;74;19;318;294;173;274
109;12;29;51;118;19;318;266;144;288
83;136;102;39;7;132;318;287;131;246
82;26;19;9;46;182;318;285;134;25
9;144;29;47;102;12;317;29;314;318
96;284;21;183;118;198;318;274;134;238
67;112;43;38;102;126;317;266;138;314
99;104;77;42;96;198;318;286;131;278
74;152;229;66;146;258;319;274;141;24
102;152;76;38;62;126;317;304;134;314
122;136;133;59;118;224;319;277;166;246
112;104;109;39;96;16;318;301;128;306
128;168;99;75;11;234;318;278;173;25
128;128;96;39;134;17;318;312;186;334
133;76;26;45;72;118;318;314;131;266
7;112;35;46;64;166;318;283;154;28
74;16;158;41;64;118;318;269;134;28
17;96;13;33;78;114;318;281;102;242
77;104;131;62;126;242;318;278;16;254
99;148;99;59;34;218;318;288;125;234
109;156;83;46;12;218;318;294;15;33
102;128;133;49;86;14;318;288;15;298
74;148;126;57;16;2;318;254;157;248
102;132;158;37;58;12;318;275;138;322
7;168;37;61;72;152;318;266;138;266
102;96;99;55;82;304;318;287;198;25
102;96;21;69;114;272;318;319;163;246
134;56;171;53;48;126;318;286;106;286
74;16;12;46;134;202;318;277;86;304
64;14;98;29;26;54;318;248;166;29
8;96;118;5;56;15;318;301;186;28
99;12;14;51;42;146;318;262;125;27
42;152;29;53;38;152;318;295;288;312
141;72;123;11;74;28;319;317;23;246
67;16;27;35;128;178;318;304;157;306
74;168;118;5;15;252;318;286;154;248
125;96;16;55;22;158;318;266;99;27
74;136;21;29;62;148;317;298;118;338
86;12;208;54;184;214;319;281;16;256
8;128;195;47;114;17;318;287;17;278
74;128;21;55;158;15;318;275;176;294
101;108;25;3;4;94;317;299;128;318
9;116;43;43;7;142;317;295;131;31
8;84;249;45;74;212;319;31;205;256
77;132;197;53;82;194;319;298;128;254
51;196;19;63;48;2;318;287;15;298
9;108;75;34;15;186;317;281;134;334
74;124;171;43;158;248;319;278;176;254
86;12;222;33;9;174;318;298;16;32
83;132;286;56;11;26;32;272;141;242
102;2;171;54;152;274;319;274;192;25
182;116;35;46;4;102;318;295;237;272
8;88;53;55;11;214;318;281;16;28
214;192;202;59;152;296;319;282;166;248
51;148;24;42;72;146;318;301;16;262
83;128;21;55;62;102;317;263;147;32
9;136;221;47;86;214;319;278;128;264
67;144;29;53;86;178;32;29;154;234
122;112;45;49;46;9;317;286;15;352
109;104;165;47;136;222;318;274;112;31
117;32;216;47;98;19;319;307;125;264
131;4;98;55;54;94;318;283;134;266
64;164;146;5;134;222;318;279;186;262
8;196;269;55;134;304;32;27;166;246
67;112;24;58;122;19;318;287;134;27
8;104;2;56;14;16;319;274;144;25
96;2;194;51;102;17;319;27;17;238
115;208;162;57;78;186;319;273;128;25
83;96;21;61;176;2;318;286;198;278
99;12;16;53;13;282;318;333;176;318
96;364;131;39;134;266;318;302;157;312
125;96;77;42;12;184;318;287;138;298
58;156;244;54;12;21;32;297;246;242
93;12;146;58;66;222;318;288;179;302
9;96;285;54;112;148;32;275;144;238
58;132;128;58;42;174;319;291;141;232
7;1;274;57;118;184;32;294;118;234
51;108;248;57;66;18;319;258;138;232
58;152;13;56;118;234;318;294;173;262
83;136;102;57;96;218;318;283;224;306
64;156;16;47;98;206;317;274;138;318
147;96;184;58;15;228;318;274;179;262
7;96;78;105;8;164;318;27;147;23
67;136;128;65;5;134;318;266;189;25
48;136;182;57;66;128;319;286;157;266
118;124;75;43;8;17;318;258;23;322
48;112;235;58;78;198;319;263;125;24
93;176;58;229;2;242;318;269;131;242
74;1;127;48;42;144;318;306;195;274
67;168;19;51;64;168;318;274;278;29
86;112;13;27;78;17;317;267;112;33
101;152;42;38;26;92;317;278;189;288
7;88;266;5;104;146;319;288;154;24
102;144;238;47;126;254;319;274;99;266
109;12;15;65;9;238;318;28;141;278
102;156;53;13;64;186;318;274;144;246
67;112;22;53;7;88;318;305;154;296
64;12;75;47;106;198;318;281;112;272
7;196;96;33;82;17;318;303;115;302
83;112;15;32;34;162;318;282;109;322
106;128;178;41;66;158;318;28;109;28
64;124;16;35;58;98;317;288;166;302
64;12;24;35;56;76;317;306;176;294
96;144;16;48;88;226;319;287;163;248
83;124;26;37;96;146;317;264;138;318
9;136;74;62;58;174;318;285;147;32
77;152;204;39;22;98;318;275;182;344
61;152;82;22;58;11;317;271;115;334
58;104;22;47;106;188;318;297;23;254
96;196;15;53;126;25;319;279;154;266
99;188;48;61;122;192;318;293;243;266
118;92;152;65;144;222;318;287;134;266
109;196;128;53;146;298;318;274;166;286
154;144;56;34;82;18;317;279;122;326
118;92;152;65;144;222;318;287;134;266
58;164;227;45;126;172;319;291;23;274
58;144;38;56;102;164;318;32;147;274
109;124;262;58;54;194;319;272;173;242
109;112;194;56;82;198;319;286;157;274
64;156;42;5;8;24;318;307;141;288
7;152;237;62;86;168;32;286;16;258
77;104;27;38;162;178;317;283;259;318
109;184;75;33;56;126;317;293;198;328
51;1;21;39;74;164;318;29;176;304
77;116;219;4;142;178;318;282;122;282
93;64;22;43;326;313;318;28;15;266
45;164;14;42;58;126;318;289;138;29
189;28;112;51;96;196;318;297;182;258
102;132;4;59;106;293;318;28;192;266
83;112;27;49;64;13;317;279;141;334
141;96;179;35;11;222;318;278;138;302
48;116;8;66;74;14;318;313;141;272
8;128;14;39;106;152;317;294;186;288
48;132;75;67;82;158;318;305;125;24
9;196;123;51;128;26;318;27;176;294
134;136;38;25;9;13;317;286;122;342
99;116;22;42;88;17;317;278;115;326
86;128;109;54;126;258;318;287;125;304
67;128;35;42;74;188;318;285;182;266
38;152;14;39;96;114;317;249;176;32
96;296;74;47;96;212;318;286;144;264
58;12;205;71;5;228;319;266;166;24
118;148;78;47;106;289;318;275;16;262
9;14;245;64;82;156;32;29;16;256
7;128;38;51;78;134;318;274;192;302
58;168;82;41;18;102;318;281;166;312
15;26;133;95;72;242;319;266;112;246
83;16;18;48;24;8;318;257;16;282
7;14;88;62;98;244;318;274;16;274
102;168;21;53;38;248;318;274;154;256
77;164;285;53;104;194;32;295;125;232
48;196;18;55;56;13;318;283;154;246
51;176;22;49;66;146;318;277;24;274
8;96;29;61;16;162;318;287;224;304
109;72;102;94;126;32;319;304;154;246
102;104;74;35;7;16;318;302;234;334
8;108;75;35;82;122;318;267;106;32
54;136;102;48;42;148;318;266;128;288
112;128;144;37;78;15;318;278;208;344
67;14;232;55;94;238;319;271;15;238
122;72;118;109;74;26;319;314;227;246
67;288;26;191;174;16;318;264;163;246
7;104;147;31;98;162;318;272;109;334
179;6;16;42;102;21;319;291;166;25
7;168;3;59;26;116;318;294;157;314
77;164;285;53;104;194;32;295;125;232
51;12;107;49;114;204;318;322;147;282
74;14;11;34;12;154;318;249;173;294
83;136;21;53;16;38;318;293;202;278
9;124;115;46;126;224;318;293;182;282
115;96;29;29;86;136;317;297;189;342
7;152;165;67;74;132;319;278;15;266
42;108;74;91;9;23;318;287;125;296
7;18;362;137;146;162;319;275;112;342
77;12;163;8;118;238;319;254;147;238
77;128;101;34;9;172;318;313;131;278
93;108;27;27;34;102;317;286;163;336
61;128;59;47;7;102;318;258;182;28
125;136;16;64;94;238;319;29;192;272
118;132;19;32;34;108;317;299;122;312
106;88;83;54;64;202;318;286;15;274
9;136;142;55;86;148;318;289;173;294
74;144;275;45;98;174;32;287;138;234
83;136;23;77;94;252;319;273;17;242
77;248;17;51;136;204;319;281;141;234
99;12;14;51;42;146;318;262;125;27
64;132;27;57;74;238;318;281;138;24
83;124;35;5;78;17;318;297;205;29
112;16;101;45;94;216;318;28;109;318
83;108;291;55;138;224;32;298;141;25
9;12;133;3;98;15;318;266;122;328
67;112;43;39;62;148;318;298;205;272
61;116;19;53;78;122;317;286;17;302
64;108;154;42;5;14;318;27;118;28
83;96;115;43;74;182;318;298;192;278
9;164;112;53;158;258;318;279;154;25
8;152;126;51;144;278;318;282;147;242
74;12;114;42;168;314;318;272;109;246
122;1;157;46;74;254;319;291;195;246
35;196;72;55;72;178;318;288;134;282
7;18;227;43;142;188;32;27;147;246
64;168;24;47;94;166;318;277;157;304
67;148;4;55;186;184;318;296;24;304
58;88;24;49;12;206;318;283;154;272
115;148;77;22;104;152;317;274;157;338
54;128;24;57;46;134;318;279;186;254
93;212;27;46;11;256;318;29;189;278
83;172;142;95;134;228;319;254;16;24
64;128;8;18;82;134;318;266;125;294
106;96;257;51;82;196;319;274;166;246
93;208;126;56;94;256;318;281;163;254
187;8;166;98;46;126;319;278;128;25
125;84;171;112;34;122;319;27;15;248
61;108;222;65;12;206;319;262;131;234
86;18;133;57;138;262;318;282;154;254
134;116;66;34;82;134;317;266;102;342
61;144;3;4;8;128;318;28;173;288
141;104;32;62;54;24;318;318;182;266
58;124;195;61;122;186;319;272;17;238
85;112;11;41;122;2;318;298;141;288
61;14;24;42;98;142;317;282;218;32
96;116;27;62;62;18;32;281;122;24
125;124;43;62;72;27;318;307;182;28
64;96;22;38;174;226;317;319;179;328
91;196;182;4;152;182;319;274;173;238
74;136;64;54;64;17;318;285;166;258
51;12;22;73;9;222;318;277;134;305
8;132;4;61;32;96;318;257;154;254
58;196;24;47;104;174;318;27;157;262
128;124;14;55;62;226;318;286;246;254
122;116;38;155;4;124;318;282;192;254
38;196;19;48;114;214;318;278;154;258
102;244;189;47;176;25;319;266;173;248
74;112;3;53;88;138;317;278;99;32
125;92;112;38;78;168;318;279;134;28
61;132;67;43;13;178;317;281;134;302
93;2;13;43;3;4;318;298;112;246
93;56;113;51;134;236;318;287;134;24
